date,close,high,low,open,volume,short_ma,long_ma,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-09-06,53948.75390625,56976.109375,52598.69921875,56160.19140625,49361693566,59599.69765625,61356.3790625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-07,54139.6875,54838.14453125,53740.0703125,53949.0859375,19061486526,59382.4837890625,61104.9696875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-08,54841.56640625,55300.859375,53653.7578125,54147.93359375,18268287531,59149.889453125,60858.528046875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-09,57019.53515625,58041.125,54598.43359375,54851.88671875,34618096173,59050.2265625,60635.82828125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-10,57648.7109375,58029.9765625,56419.4140625,57020.09765625,28857630507,58873.9025390625,60437.0975,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-11,57343.171875,57991.3203125,55567.33984375,57650.2890625,37049062672,58721.9654296875,60265.4075,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-12,58127.01171875,58534.359375,57330.1015625,57343.171875,33835707949,58423.5982421875,60120.505078125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-13,60571.30078125,60648.0234375,57650.11328125,58130.32421875,32490528356,58243.213671875,60016.3865625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-14,60005.12109375,60656.72265625,59517.8828125,60569.1171875,16428405496,58026.792578125,59858.247734375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-15,59182.8359375,60381.91796875,58696.30859375,60000.7265625,18120960867,57841.9013671875,59685.637734375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-16,58192.5078125,59205.51171875,57501.33984375,59185.2265625,32032822113,57776.3201171875,59484.370546875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-17,60308.5390625,61316.08984375,57628.0703125,58192.5078125,38075570118,57840.3658203125,59354.143046875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-18,61649.6796875,61664.06640625,59218.25390625,60309.0,40990702891,57953.4408203125,59263.116328125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-19,62940.45703125,63872.44140625,61609.8671875,61651.15625,42710252573,58144.48984375,59229.54046875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-20,63192.9765625,64119.53125,62364.60546875,62941.42578125,35177164222,58355.64375,59186.25,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-21,63394.83984375,63543.359375,62783.10546875,63184.33984375,14408616220,58659.111328125,59225.84546875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-22,63648.7109375,63993.421875,62440.7265625,63396.8046875,20183348802,58885.9228515625,59285.2178125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-23,63329.80078125,64733.55859375,62628.078125,63643.1015625,31400285425,59180.86171875,59389.474296875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-24,64301.96875,64695.21484375,62737.41796875,63326.83984375,29938335243,59497.383203125,59595.68453125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-25,63143.14453125,64804.50390625,62945.375,64302.58984375,25078377700,59846.516015625,59737.86109375,buy,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-09-26,65181.01953125,65790.796875,62669.26953125,63138.546875,36873129847,60408.129296875,59940.932265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-27,65790.6640625,66480.6953125,64852.9921875,65180.6640625,32058813449,60990.678125,60022.5428125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-28,65887.6484375,66255.53125,65458.03515625,65792.1796875,15243637984,61542.9822265625,60122.693515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-29,65635.3046875,66069.34375,65450.015625,65888.8984375,14788214575,61973.770703125,60216.483359375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-30,63329.5,65635.0546875,62873.6171875,65634.65625,37112957475,62257.81015625,60308.683671875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-01,60837.0078125,64110.98046875,60189.27734375,63335.60546875,50220923500,62432.501953125,60338.333515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-02,60632.78515625,62357.6875,59996.94921875,60836.32421875,40762722398,62557.790625,60338.797890625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-03,60759.40234375,61469.0390625,59878.8046875,60632.484375,36106447279,62567.195703125,60379.240546875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-04,62067.4765625,62465.9921875,60459.94140625,60754.625,29585472513,62670.3134765625,60469.388125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-05,62089.94921875,62371.0234375,61689.58203125,62067.609375,13305410749,62815.669140625,60533.305,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-06,62818.953125,62959.5703125,61833.1484375,62084.98828125,14776233667,63046.99140625,60600.104609375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-07,62236.66015625,64443.70703125,62152.55078125,62819.109375,34253562610,63143.3974609375,60675.158515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-08,62131.96875,63174.3046875,61843.5625,62221.64453125,28134475157,63167.5119140625,60727.928828125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-09,60582.1015625,62508.8359375,60314.61328125,62131.7265625,27670982363,63049.594140625,60759.315,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-10,60274.5,61236.72265625,58895.20703125,60581.9296875,30452813570,62903.6703125,60741.301171875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-11,62445.08984375,63400.87109375,60046.125,60275.4609375,30327141594,62856.1828125,60782.5646875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-12,63193.0234375,63448.78515625,62443.26953125,62444.6171875,16744110886,62833.3984375,60764.538046875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-13,62851.375,63272.65234375,62035.63671875,63192.9453125,18177529690,62809.4771484375,60737.985703125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-14,66046.125,66482.4921875,62442.15234375,62848.3984375,43706958056,62896.6849609375,60772.23734375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-15,67041.109375,67881.6796875,64809.1953125,66050.3671875,48863870879,63091.583203125,60855.446328125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-16,67612.71875,68375.2890625,66758.7265625,67042.4609375,38195189534,63213.1681640625,61017.618046875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-17,67399.8359375,67912.2109375,66647.390625,67617.078125,32790898511,63293.6267578125,61185.062265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-18,68418.7890625,68969.75,67177.8203125,67419.109375,36857165014,63420.1837890625,61365.674453125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-19,68362.734375,68668.0078125,68024.640625,68418.9765625,14443497908,63556.5552734375,61550.539609375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-20,69001.703125,69359.0078125,68105.71875,68364.1796875,18975847518,63840.1654296875,61751.175703125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-21,67367.8515625,69462.734375,66829.8515625,69002.0,37498611780,64166.7076171875,61952.02296875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-22,67361.40625,67801.578125,66581.3671875,67360.703125,31808472566,64503.138671875,62117.001484375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-23,66432.1953125,67402.7421875,65188.03515625,67362.375,32263980353,64786.7783203125,62297.024921875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-24,68161.0546875,68798.9609375,66454.1015625,66653.703125,31414428647,65091.4572265625,62500.815234375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-25,66642.4140625,68722.15625,65521.79296875,68165.296875,41469984306,65319.08046875,62710.45375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-26,67014.6953125,67317.921875,66360.59375,66628.734375,19588098156,65528.867578125,62971.772578125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-27,67929.296875,68221.3125,66847.2265625,67023.4765625,16721307878,65813.4994140625,63247.564765625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-28,69907.7578125,70212.265625,67535.1328125,67922.671875,38799856657,66202.2888671875,63548.88859375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-29,72720.4921875,73577.2109375,69729.9140625,69910.046875,58541874402,66809.2083984375,63862.907734375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-30,72339.5390625,72905.296875,71411.734375,72715.3671875,40646637831,67412.4603515625,64156.724296875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-10-31,70215.1875,72662.3125,69590.5,72335.046875,40627912076,67800.965234375,64414.164609375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-01,69482.46875,71559.015625,68779.703125,70216.8984375,49989795365,68115.4375,64641.27375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-02,69289.2734375,69867.3515625,69033.71875,69486.0234375,18184612091,68437.332421875,64815.633203125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-03,68741.1171875,69361.65625,67482.5234375,69296.3828125,34868307655,68572.08203125,64990.353125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-04,67811.5078125,69433.1796875,66803.6484375,68742.1328125,41184819348,68610.601953125,65162.9265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-05,69359.5625,70522.7890625,67458.8671875,67811.171875,46046889204,68697.944140625,65386.26765625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-06,75639.078125,76460.15625,69322.03125,69358.5,118592653963,69109.90625,65692.8784375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-07,75904.859375,76943.1171875,74480.421875,75637.0859375,63467654989,69484.209765625,65977.98203125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-08,76545.4765625,77252.75,75648.7421875,75902.8359375,55176858003,69893.346875,66250.082421875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-09,76778.8671875,76932.765625,75773.7890625,76556.1875,29009480361,70282.205078125,66521.800234375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-10,80474.1875,81474.421875,76565.4296875,76775.546875,82570594495,70937.521875,66863.3871875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-11,88701.484375,89604.5,80283.25,80471.4140625,117966845037,72004.52578125,67364.44265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-12,87955.8125,89956.8828125,85155.109375,88705.5625,133673285375,73080.706640625,67856.962890625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-13,90584.1640625,93434.3515625,86256.9296875,87929.96875,123559027869,74201.862109375,68382.606796875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-14,87250.4296875,91765.21875,86682.8125,90574.8828125,87616705248,75232.262890625,68864.7525,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-15,91066.0078125,91868.7421875,87124.8984375,87284.1796875,78243109518,76434.828515625,69382.452265625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-16,90558.4765625,91763.9453125,90094.2265625,91064.3671875,44333192814,77566.2875,69877.808515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-17,89845.8515625,91433.0390625,88741.6640625,90558.4609375,46350159305,78563.1921875,70356.972578125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-18,90542.640625,92596.7890625,89393.59375,89843.71875,75535775084,79454.299609375,70855.119296875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-19,92343.7890625,94002.8671875,90426.984375,90536.8125,74521048295,80454.512109375,71435.405078125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-20,94339.4921875,94902.0234375,91619.5,92341.890625,71730956426,81660.72734375,72105.454765625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-21,98504.7265625,99014.21875,94132.6015625,94334.640625,106024505582,83111.840234375,72862.89359375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-22,98997.6640625,99655.5,97222.6640625,98496.4296875,78473580551,84597.259765625,73627.658828125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-23,97777.28125,99014.6796875,97232.890625,99006.7421875,44414644677,86049.06796875,74341.854921875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-24,98013.8203125,98647.1796875,95788.078125,97778.09375,51712020623,87559.18359375,75060.33234375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-25,93102.296875,98935.03125,92642.9140625,98033.4453125,80909462490,88746.3203125,75665.99921875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-26,91985.3203125,94991.75,90770.8125,93087.28125,91656519855,89563.632421875,76260.972421875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-27,95962.53125,97361.1796875,91778.6640625,91978.140625,71133452438,90566.516015625,76937.583671875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-28,95652.46875,96650.203125,94677.3515625,95954.9453125,52260008261,91521.865625,77638.991015625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-29,97461.5234375,98693.171875,95407.8828125,95653.953125,54968682476,92555.9984375,78382.731484375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-11-30,96449.0546875,97499.34375,96144.21875,97468.8125,31634227866,93354.741796875,79062.81078125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-01,97279.7890625,97888.125,95770.1875,96461.3359375,36590695296,93783.65703125,79744.54609375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-02,95865.3046875,98152.6015625,94482.8671875,97276.0078125,72680784305,94179.131640625,80404.8246875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-03,96002.1640625,96297.203125,93629.5625,95854.59375,67067810961,94450.031640625,81003.94546875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-04,98768.53125,99207.328125,94660.5234375,95988.53125,77199817112,95025.93671875,81638.49390625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-05,96593.5703125,103900.46875,91998.78125,98741.5390625,149218945580,95302.31484375,82218.1109375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-06,99920.7109375,102039.8828125,96514.875,97074.2265625,94534772658,95770.4265625,82868.5284375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-07,99923.3359375,100563.3828125,99030.8828125,99916.7109375,44177510897,96274.30078125,83498.619375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-08,101236.015625,101399.9921875,98771.515625,99921.9140625,44125751925,96808.96953125,84156.085,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-09,97432.71875,101272.5078125,94355.9140625,101237.0625,110676473908,97063.416015625,84724.7053125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-10,96675.4296875,98270.15625,94321.2578125,97441.234375,104823780634,97180.212890625,85310.856875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-11,101173.03125,101913.359375,95747.2265625,96656.0625,85391409936,97313.628125,85987.089375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-12,100043.0,102524.9140625,99339.953125,101167.8046875,72073983533,97365.894921875,86659.30546875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-13,101459.2578125,101888.8046875,99233.28125,100046.6484375,56894751583,97549.99375,87325.26953125,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-14,101372.96875,102618.8828125,100634.0546875,101451.4375,40422968793,97717.951171875,88019.880625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-15,104298.6953125,105047.5390625,101227.03125,101373.53125,51145914137,98277.77109375,88765.560625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-16,106029.71875,107780.578125,103322.984375,104293.578125,91020417816,98979.991015625,89527.5690625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-17,106140.6015625,108268.4453125,105291.734375,106030.6875,68589364868,99488.89453125,90252.2259375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-18,100041.5390625,106470.609375,100041.5390625,106147.296875,93865656139,99708.348046875,90798.646875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-12-19,97490.953125,102748.1484375,95587.6796875,100070.6875,97221662392,99709.81953125,91301.67515625,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
