date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-09-06,53948.75390625,56976.109375,52598.69921875,56160.19140625,49361693566,61356.3790625,4017.7727042923,67383.03811893845,55329.72000606154,buy,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-07,54139.6875,54838.14453125,53740.0703125,53949.0859375,19061486526,61104.9696875,4068.8958310363523,67208.31343405452,55001.62594094547,buy,0.0,10000,0,10000,0.0,0.02,1,0.25
2024-09-08,54841.56640625,55300.859375,53653.7578125,54147.93359375,18268287531,60858.528046875,4067.606499900482,66959.93779672572,54757.11829702427,hold,0.0,10000,0,10000,0.0,0.02,1,0.15
2024-09-09,57019.53515625,58041.125,54598.43359375,54851.88671875,34618096173,60635.82828125,3963.4870949949295,66581.05892374238,54690.5976387576,hold,0.0,10000,0,10000,0.0,0.02,1,0.04999999999999999
2024-09-10,57648.7109375,58029.9765625,56419.4140625,57020.09765625,28857630507,60437.0975,3855.5710535161284,66220.4540802742,54653.74091972581,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-11,57343.171875,57991.3203125,55567.33984375,57650.2890625,37049062672,60265.4075,3796.7711182311773,65960.56417734677,54570.25082265324,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-12,58127.01171875,58534.359375,57330.1015625,57343.171875,33835707949,60120.505078125,3735.6591987038237,65723.99387618074,54517.01628006926,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-13,60571.30078125,60648.0234375,57650.11328125,58130.32421875,32490528356,60016.3865625,3646.258967214268,65485.77501332141,54546.9981116786,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-14,60005.12109375,60656.72265625,59517.8828125,60569.1171875,16428405496,59858.247734375,3463.7276495902524,65053.83920876038,54662.65625998962,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-15,59182.8359375,60381.91796875,58696.30859375,60000.7265625,18120960867,59685.637734375,3268.764025504303,64588.783772631454,54782.491696118544,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-16,58192.5078125,59205.51171875,57501.33984375,59185.2265625,32032822113,59484.370546875,3031.505568273884,64031.628899285824,54937.11219446417,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-17,60308.5390625,61316.08984375,57628.0703125,58192.5078125,38075570118,59354.143046875,2844.014012630917,63620.16406582137,55088.12202792862,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-18,61649.6796875,61664.06640625,59218.25390625,60309.0,40990702891,59263.116328125,2689.009758898289,63296.63096647243,55229.60168977756,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-19,62940.45703125,63872.44140625,61609.8671875,61651.15625,42710252573,59229.54046875,2630.6133393156633,63175.46047772349,55283.6204597765,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-09-20,63192.9765625,64119.53125,62364.60546875,62941.42578125,35177164222,59186.25,2544.0985530208745,63002.39782953131,55370.10217046869,sell,0.0,10000,0,10000,0.0,0.02,1,0.25
2024-09-21,63394.83984375,63543.359375,62783.10546875,63184.33984375,14408616220,59225.84546875,2594.4039100259242,63117.451333788886,55334.23960371111,sell,0.0,10000,0,10000,0.0,0.02,1,0.5
2024-09-22,63648.7109375,63993.421875,62440.7265625,63396.8046875,20183348802,59285.2178125,2661.464603316234,63277.41471747435,55293.02090752565,sell,0.0,10000,0,10000,0.0,0.02,1,0.75
2024-09-23,63329.80078125,64733.55859375,62628.078125,63643.1015625,31400285425,59389.474296875,2716.3026000870586,63463.92819700559,55315.02039674441,hold,0.0,10000,0,10000,0.0,0.02,1,0.65
2024-09-24,64301.96875,64695.21484375,62737.41796875,63326.83984375,29938335243,59595.68453125,2689.3765655710536,63629.74937960658,55561.61968289342,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-09-25,63143.14453125,64804.50390625,62945.375,64302.58984375,25078377700,59737.86109375,2685.1632795118903,63765.60601301783,55710.116174482166,hold,0.0,10000,0,10000,0.0,0.02,1,0.9
2024-09-26,65181.01953125,65790.796875,62669.26953125,63138.546875,36873129847,59940.932265625,2705.524201897895,63999.21856847184,55882.64596277816,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-09-27,65790.6640625,66480.6953125,64852.9921875,65180.6640625,32058813449,60022.5428125,2819.138176225893,64251.25007683884,55793.835548161165,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-09-28,65887.6484375,66255.53125,65458.03515625,65792.1796875,15243637984,60122.693515625,2936.7203402767755,64527.77402604016,55717.61300520983,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-09-29,65635.3046875,66069.34375,65450.015625,65888.8984375,14788214575,60216.483359375,3036.725955202687,64771.57229217903,55661.39442657097,sell,0.0,10000,0,10000,0.0,0.02,1,1.0
2024-09-30,63329.5,65635.0546875,62873.6171875,65634.65625,37112957475,60308.683671875,3060.2398985174136,64899.04351965112,55718.32382409888,hold,0.0,10000,0,10000,0.0,0.02,1,0.9
2024-10-01,60837.0078125,64110.98046875,60189.27734375,63335.60546875,50220923500,60338.333515625,3057.9874589697115,64925.314704079574,55751.35232717043,hold,0.0,10000,0,10000,0.0,0.02,1,0.8
2024-10-02,60632.78515625,62357.6875,59996.94921875,60836.32421875,40762722398,60338.797890625,3058.0312506481328,64925.8447665972,55751.7510146528,hold,0.0,10000,0,10000,0.0,0.02,1,0.7000000000000001
2024-10-03,60759.40234375,61469.0390625,59878.8046875,60632.484375,36106447279,60379.240546875,3049.7789681199984,64953.908999055,55804.572094695,hold,0.0,10000,0,10000,0.0,0.02,1,0.6000000000000001
2024-10-04,62067.4765625,62465.9921875,60459.94140625,60754.625,29585472513,60469.388125,3031.308335031595,65016.35062754739,55922.4256224526,hold,0.0,10000,0,10000,0.0,0.02,1,0.5000000000000001
2024-10-05,62089.94921875,62371.0234375,61689.58203125,62067.609375,13305410749,60533.305,3031.1078171007516,65079.96672565113,55986.64327434887,hold,0.0,10000,0,10000,0.0,0.02,1,0.40000000000000013
2024-10-06,62818.953125,62959.5703125,61833.1484375,62084.98828125,14776233667,60600.104609375,3044.173345835202,65166.3646281278,56033.8445906222,hold,0.0,10000,0,10000,0.0,0.02,1,0.30000000000000016
2024-10-07,62236.66015625,64443.70703125,62152.55078125,62819.109375,34253562610,60675.158515625,3037.1885116961002,65230.94128316915,56119.37574808085,hold,0.0,10000,0,10000,0.0,0.02,1,0.20000000000000015
2024-10-08,62131.96875,63174.3046875,61843.5625,62221.64453125,28134475157,60727.928828125,3039.1587915685095,65286.66701547776,56169.190640772234,hold,0.0,10000,0,10000,0.0,0.02,1,0.10000000000000014
2024-10-09,60582.1015625,62508.8359375,60314.61328125,62131.7265625,27670982363,60759.315,3029.1715774774952,65303.07236621625,56215.557633783756,hold,0.0,10000,0,10000,0.0,0.02,1,1.3877787807814457e-16
2024-10-10,60274.5,61236.72265625,58895.20703125,60581.9296875,30452813570,60741.301171875,3029.326083009361,65285.29029638904,56197.31204736096,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
