date,close,high,low,open,volume,tr,atr,rolling_high,rolling_low,upper_threshold,lower_threshold,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-08-08,61710.13671875,62673.765625,54766.7265625,55030.02734375,45298472567,7907.0390625,3633.217354910714,69987.5390625,49121.23828125,75437.36509486607,43671.41224888393,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-09,60880.11328125,61751.86328125,59587.859375,61728.20703125,33425553115,2164.00390625,3611.80078125,69987.5390625,49121.23828125,75405.240234375,43703.537109375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-10,60945.8125,61464.51171875,60287.56640625,60881.23046875,15745822278,1176.9453125,3503.4905133928573,69987.5390625,49121.23828125,75242.77483258929,43866.00251116071,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-11,58719.484375,61778.66015625,58348.82421875,60944.890625,22759754812,3429.8359375,3661.6199776785716,69987.5390625,49121.23828125,75479.96902901786,43628.808314732145,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-12,59354.515625,60680.33203125,57688.8984375,58719.39453125,37078637820,2991.43359375,3628.5119977678573,69987.5390625,49121.23828125,75430.30705915179,43678.47028459821,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-13,60609.56640625,61572.3984375,58506.25390625,59356.20703125,30327698167,3066.14453125,3728.630859375,69987.5390625,49121.23828125,75580.4853515625,43528.2919921875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-14,58737.26953125,61687.7578125,58472.875,60611.05078125,29961696180,3214.8828125,3795.5393415178573,69987.5390625,49121.23828125,75680.84807477679,43427.92926897321,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-15,57560.09765625,59838.6484375,56161.59375,58733.26171875,35682112440,3677.0546875,3819.3074776785716,69987.5390625,49121.23828125,75716.50027901786,43392.277064732145,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-16,58894.10546875,59847.359375,57110.01953125,57560.2734375,29350938673,2737.33984375,3704.951171875,69987.5390625,49121.23828125,75544.9658203125,43563.8115234375,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-17,59478.97265625,59694.66796875,58814.83203125,58893.53125,13589684021,879.8359375,3602.6648995535716,69987.5390625,49121.23828125,75391.53641183036,43717.240931919645,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-18,58483.96484375,60262.71875,58445.40234375,59468.1328125,17740625837,1817.31640625,3457.3172433035716,69987.5390625,49121.23828125,75173.51492745536,43935.262416294645,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-19,59493.453125,59612.66015625,57864.7109375,58480.7109375,25911207712,1747.94921875,2928.771484375,66987.671875,49121.23828125,71380.8291015625,44728.0810546875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-20,59012.79296875,61396.328125,58610.8828125,59493.453125,31613400008,2785.4453125,2907.257254464286,66810.2109375,49121.23828125,71171.09681919643,44760.35239955357,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-21,61175.19140625,61834.3515625,58823.4453125,59014.98828125,32731154072,3010.90625,2900.438058035714,65593.2421875,49121.23828125,69943.89927455357,44770.58119419643,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-22,60381.9140625,61408.109375,59815.25390625,61168.31640625,27625734377,1592.85546875,2449.4249441964284,65523.22265625,49121.23828125,69197.36007254464,45447.100864955355,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-23,64094.35546875,64947.0625,60372.05078125,60380.953125,42530509233,4575.01171875,2621.6397879464284,62673.765625,49121.23828125,66606.22530691964,45188.778599330355,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-24,64178.9921875,64513.7890625,63619.91796875,64103.87109375,21430585163,893.87109375,2601.4202008928573,64947.0625,49121.23828125,68849.19280133929,45219.10797991071,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-25,64333.54296875,64996.421875,63833.51953125,64176.3671875,18827683555,1162.90234375,2439.4963727678573,64947.0625,49121.23828125,68606.30705915179,45461.99372209821,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-26,62880.66015625,64489.70703125,62849.55859375,64342.2265625,27682040631,1640.1484375,2342.976004464286,64996.421875,53973.2734375,68510.88588169643,50458.80943080357,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-27,59504.1328125,63210.796875,58116.75,62879.70703125,39103882198,5094.046875,2487.826171875,64996.421875,54620.5078125,68728.1611328125,50888.7685546875,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-28,59027.625,60236.44921875,57890.67578125,59507.92578125,40289564698,2345.7734375,2425.7469308035716,64996.421875,54766.7265625,68635.04227120536,51128.106166294645,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
2024-08-29,59388.1796875,61184.08203125,58786.2265625,59027.46875,32224990582,2397.85546875,2334.375558035714,64996.421875,56161.59375,68497.98521205357,52660.03041294643,hold,0.0,10000,0,10000,0.0,0.02,1,0.0
