date,close,high,low,open,volume,sma,std,upper_band,lower_band,signal,position_pct,cash,shares,portfolio_value,equity_pct,risk_budget,max_position_pct,signal_strength
2024-09-27,22.499441146850586,22.671482914094867,22.375186632520595,22.661924734297454,1343000,20.307934875488282,0.9597696134830903,21.747589295712917,18.868280455263648,sell,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-09-30,22.642812728881836,22.767065434065113,22.470769119369148,22.68104362930877,1467200,20.320404930114748,0.9861469289253464,21.799625323502767,18.84118453672673,sell,0.0,10000.0,0,10000.0,0.0,0.02,1,0.25
2024-10-01,22.547229766845703,22.604577021434107,21.992868111060858,22.031099006441007,2182300,20.319495887756347,0.9840282421175168,21.795538250932623,18.84345352458007,sell,0.0,10000.0,0,10000.0,0.0,0.02,1,0.5
2024-10-02,21.887731552124023,22.47076778917282,21.830384293360098,22.461209608872753,1802500,20.31612449645996,0.9782279883655032,21.783466479008215,18.848782513911704,sell,0.0,10000.0,0,10000.0,0.0,0.02,1,0.75
2024-10-03,21.878173828125,21.973753810082663,21.467181181832622,21.782595669203864,1119500,20.324769172668457,0.9902519607742151,21.810147113829778,18.839391231507136,sell,0.0,10000.0,0,10000.0,0.0,0.02,1,1.0
2024-10-04,21.70612907409668,22.231818035467402,21.59143456025914,22.069332621667204,815600,20.33718635559082,1.0037829751810423,21.842860818362382,18.831511892819258,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.9
2024-10-07,21.514970779418945,21.945077937587083,21.49585441957954,21.706128908703757,1142500,20.344115753173828,1.0108101847606608,21.860331030314818,18.827900476032838,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.8
2024-10-08,20.979724884033203,21.256904801881053,20.865028551210266,21.256904801881053,1356500,20.338120727539064,1.006027012056073,21.847161245623173,18.829080209454954,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.7000000000000001
2024-10-09,20.44447898864746,20.769449824274695,20.43492080841884,20.769449824274695,1171300,20.330298767089843,1.003597785853344,21.83569544586986,18.824902088309827,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.6000000000000001
2024-10-10,20.702545166015625,20.788566968279014,20.492270662169865,20.597407002574474,913000,20.327453155517578,1.0023100030486078,21.83091816009049,18.823988150944665,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.5000000000000001
2024-10-11,20.119508743286133,20.578292292537377,19.899676060687813,20.37757414792061,1999400,20.327743530273438,1.002246340018447,21.83111304030111,18.824374020245767,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.40000000000000013
2024-10-14,19.727630615234375,19.99525417538452,19.708516079037928,19.918790561489672,1381200,20.32648494720459,1.0029739298445655,21.830945841971438,18.822024052437744,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.30000000000000016
2024-10-15,19.04901695251465,19.479124112449593,18.98211151583831,19.354871419055875,2713600,20.32460117340088,1.0053273974614731,21.83259226959309,18.81661007720867,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.20000000000000015
2024-10-16,19.0012264251709,19.268850000158487,18.924762807036796,19.020342785463537,2030000,20.31473316192627,1.0160052862191717,21.838741091255027,18.790725232597513,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.10000000000000014
2024-10-17,19.27840805053711,19.307082590783054,18.762277264328777,18.97255358005948,1419400,20.311518516540527,1.0190818251754898,21.840141254303763,18.78289577877729,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,1.3877787807814457e-16
2024-10-18,19.498241424560547,19.603379586207154,19.240176022175152,19.39310508595045,1302400,20.313255424499513,1.017589276459946,21.839639339189432,18.786871509809593,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-21,19.230619430541992,19.354872128490072,19.02990129011942,19.354872128490072,1312700,20.310009803771973,1.0208382868547794,21.841267234054143,18.7787523734898,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-22,19.0299015045166,19.230619647200534,18.982112425468124,19.11592330523307,1141900,20.293871803283693,1.0347548168722678,21.846004028592095,18.74173957797529,hold,0.0,10000.0,0,10000.0,0.0,0.02,1,0.0
2024-10-23,18.351285934448242,18.80050944724159,18.255705959397037,18.77183490781531,2452000,20.261572113037108,1.0698017433197688,21.866274728016762,18.656869498057453,buy,0.1743372163772583,8256.627836227417,95,10000.0,0.0,0.02,1,0.25
